date,code,inst,corp,indiv,foreign
20210726,000040,12507315,35895,73317165,-85860375
20210727,000040,0,48060,-145883530,145835470
20210728,000040,0,51375,-2775080,2723705
20210729,000040,-1255,-53075,-82388630,82442960
20210730,000040,2470,0,108811020,-108813490
20210802,000040,-89440,0,-12010055,12099495
20210803,000040,87675,0,109882330,-109970005
20210804,000040,-6075,0,-101273870,101279945
20210805,000040,-4940,0,-13184115,13189055
20210806,000040,-91875,0,-55543975,55635850
20210809,000040,-3600,0,154077670,-154074070
20210810,000040,5975,0,65329240,-65335215
20210811,000040,-2360,59000,-43889565,43832925
20210812,000040,4362445,0,60634945,-64997390
20210813,000040,-1140,0,69770020,-69768880
20210817,000040,2210,9855000,-8988170,-869040
20210818,000040,313745,0,-157688125,157374380
20210819,000040,-46515100,0,95903640,-49388540
20210820,000040,-1050,2200000,31472515,-33671465
20210823,000040,0,0,-57598980,57598980
20210824,000040,-5500,0,-34291970,34297470
20210825,000040,-4420,-22100,-78326605,78353125
20210826,000040,-3345,0,33058895,-33055550
20210827,000040,-3345,0,-21607775,21611120
20210830,000040,-2260,0,-23388540,23390800
20210831,000040,-2250,0,59803310,-59801060
20210901,000040,-5650,565000,-2950975,2391625
20210902,000040,-34960,0,24309955,-24274995
20210903,000040,-3375,0,3949645,-3946270
20210906,000040,-2240,0,25352025,-25349785
20210907,000040,-2220,0,-3377455,3379675
20210908,000040,-1115,-2310000,12462315,-10151200
20210909,000040,0,19650,51511880,-51531530
20210910,000040,3300,66015,-61249960,61180645
20210913,000040,-13140,-9571510,75888980,-66304330
20210914,000040,-9810,-10900000,-59682960,70592770
20210915,000040,-7525,0,27781690,-27774165
20210916,000040,739755,-8582905,31655280,-23812130
20210917,000040,-31760,7008955,1233485,-8210680
20210923,000040,-3165,527500,-15551300,15026965
20210924,000040,-2070,-7908160,7717495,192735
20210927,000040,-1050,0,-6326380,6327430
20210928,000040,-1025,-147345,883820,-735450
20210929,000040,0,0,-53284995,53284995
20210930,000040,0,0,-23536000,23536000
20211001,000040,990,0,58014412,-58015402
20211005,000040,83564,0,28109281,-28192845
20211006,000040,1200428,0,1871000,-3071428
20211007,000040,21604,0,-49356302,49334698
20211008,000040,16898,0,-38126720,38109822
20211012,000040,1786488,0,-2845590,1059102
20211013,000040,197688,0,-85237825,85040137
20211014,000040,-192565,0,8149560,-7956995
20211015,000040,-17255,0,2112890,-2095635
20211018,000040,-11110,0,-17351465,17362575
20211019,000040,-9135,0,-16395105,16404240
20211020,000040,-6030,0,-2531640,2537670
20211021,000040,-4080,-1020000,-56560392,57584472
20211022,000040,-4020,0,15268420,-15264400
20211025,000040,-10050,0,-66392566,66402616
20211026,000040,-5200,-1046870,-76824620,77876690
20211027,000040,-4040,0,89053300,-89049260
20211028,000040,-3105,-2101040,72585110,-70480965
20211029,000040,-2070,0,14998830,-14996760
20211101,000040,-1005,3075,47013610,-47015680
20211102,000040,-1010,0,-39256690,39257700
20211103,000040,1176460,0,33471801,-34648261
20211104,000040,-3127936,3999,66805536,-63681599
20211105,000040,13958,2992,17911144,-17928094
20211108,000040,-319589,0,19724616,-19405027
20211109,000040,5910,25746,46553802,-46585458
20211110,000040,3864,0,25958808,-25962672
20211111,000040,3768,955,6764321,-6769044
20211112,000040,16677,-36151,-64149541,64169015
20211115,000040,8865,0,29492485,-29501350
20211116,000040,8982,0,2279266,-2288248
20211117,000040,598386,5945,16624713,-17229044
20211118,000040,3892,1955,-6273975,6268128
20211119,000040,0,0,-34276403,34276403
20211122,000040,-247604,2880,3883769,-3639045
20211123,000040,5619636,-197534,-20258577,14836475
20211124,000040,-32970,0,12958032,-12925062
20211125,000040,-23530,0,18211453,-18187923
20211126,000040,-17091,0,48537088,-48519997
20211129,000040,-15028,-165711,-16341139,16521878
20211130,000040,-2698651,39387,83678149,-81018885
20211201,000040,1462972,4305,-73375739,71908462
20211202,000040,141543,29240,-10449851,10279068
20211203,000040,-763839,0,17612837,-16848998
20211206,000040,-930814,0,-40913305,41844119
20211207,000040,-31600,0,23294701,-23263101
20211208,000040,-492631,0,30500654,-30008023
20211209,000040,-4385,0,-34880867,34885252
20211210,000040,-2640,0,-11043035,11045675
20211213,000040,-1780,0,-14316157,14317937
20211214,000040,-1752,0,34463743,-34461991
20211215,000040,7998,0,17940664,-17948662
20211216,000040,-2655,2933546,8107709,-11038600
20211217,000040,-1764,0,10929360,-10927596
20211220,000040,-1750,0,8322701,-8320951
20211221,000040,-877,-974811,-7624732,8600420
20211222,000040,-1734,-104076,-47434298,47540108
20211223,000040,0,0,-26305157,26305157
20211224,000040,869,0,-46147626,46146757
20211227,000040,-870,0,-28448965,28449835
20211228,000040,-865,0,27434677,-27433812
20211229,000040,0,0,-21009922,21009922
20211230,000040,59685,0,-37771256,37711571
20210104,000060,-4877297100,481365650,4443664700,-47733250
20210105,000060,-2755388450,-25205650,3409839350,-629245250
20210106,000060,39969400,-67068550,755860850,-728761700
20210107,000060,881513650,-12587300,-1434326200,565399850
20210108,000060,-84791100,27382900,321071300,-263663100
20210111,000060,-574090600,392356850,352630950,-170897200
20210112,000060,-777893750,-595335350,1407740050,-34510950
20210113,000060,-1405718100,-53052500,367271450,1091499150
20210114,000060,1097089800,15746750,-3299537300,2186700750
20210115,000060,392224000,4166850,-309298900,-87091950
20210118,000060,-236138800,-33294700,561286300,-291852800
20210119,000060,-1121116750,7415650,355506500,758194600
20210120,000060,-484688300,0,-1117795200,1602483500
20210121,000060,-2144763650,1023897400,-1787540050,2908406300
20210122,000060,-1185090950,969251150,-450255750,666095550
20210125,000060,-1308356600,52275450,-606358050,1862439200
20210126,000060,-425614750,-543563300,-166226500,1135404550
20210127,000060,720137550,961740300,-2364384800,682506950
20210128,000060,1532000450,29163900,-1783393400,222229050
20210129,000060,2523927350,-497909150,-2450964300,424946100
20210201,000060,-405308650,37558050,2181632650,-1813882050
20210202,000060,1213152700,-7738150,-1293495750,88081200
20210203,000060,-861107550,-235791800,1934445950,-837546600
20210204,000060,1212462250,65781100,2982908950,-4261152300
20210205,000060,-1330737100,180529800,3160862500,-2010655200
20210208,000060,418538750,104336800,-1325464100,802588550
20210209,000060,-822780300,46512100,1959304150,-1183035950
20210210,000060,168384050,-35655250,-127510850,-5217950
20210215,000060,233587400,-58710050,433855550,-608732900
20210216,000060,-201337000,68029500,643015000,-509707500
20210217,000060,-175353950,-141279500,185827600,130805850
20210218,000060,186646150,19609900,-87337550,-118918500
20210219,000060,-479006850,386443500,452451550,-359888200
20210222,000060,4853159050,-222723400,-6995103600,2364667950
20210223,000060,1613379600,1179223000,-970858050,-1821744550
20210224,000060,1038042100,1423872500,-2206362300,-255552300
20210225,000060,107086500,650192000,-196554000,-560724500
20210226,000060,116548950,96943250,-165560050,-47932150
20210302,000060,2340842300,478201300,-4422914700,1603871100
20210303,000060,-447718800,501019350,-355995600,302695050
20210304,000060,-1765035800,306615100,2220643350,-762222650
20210305,000060,-2915884600,-2141568350,322112750,4735340200
20210308,000060,34086000,-290185900,-5644712250,5900812150
