date,code,market_cap,volume,trade_value,shares
20210720,000040,124978578400,2015141,2624116160,96137368
20210721,000040,123055831040,937606,1207692740,96137368
20210722,000040,124497891560,1314571,1697916295,96137368
20210723,000040,122575144200,687472,884421065,96137368
20210726,000040,119210336320,754402,947105755,96137368
20210727,000040,120171710000,732150,909972540,96137368
20210728,000040,118729649480,605018,748739565,96137368
20210729,000040,120652396840,551016,691664930,96137368
20210730,000040,118729649480,654306,814985605,96137368
20210802,000040,118248962640,454063,553978805,96137368
20210803,000040,114403467920,860330,1033936930,96137368
20210804,000040,116806902120,459187,553878710,96137368
20210805,000040,118729649480,388735,478355910,96137368
20210806,000040,117768275800,402909,490782395,96137368
20210809,000040,115364841600,701770,840512140,96137368
20210810,000040,114884154760,543534,647809910,96137368
20210811,000040,113442094240,758078,890687130,96137368
20210812,000040,112000033720,426966,498898055,96137368
20210813,000040,109596599520,761978,866986100,96137368
20210817,000040,106231791640,706773,781294945,96137368
20210818,000040,109115912680,638442,713381965,96137368
20210819,000040,105751104800,427200,482042455,96137368
20210820,000040,100944236400,521329,556114615,96137368
20210823,000040,101905610080,424026,457917290,96137368
20210824,000040,105751104800,399436,439626000,96137368
20210825,000040,106231791640,447160,494106635,96137368
20210826,000040,107193165320,193073,214428770,96137368
20210827,000040,107193165320,293971,323634210,96137368
20210830,000040,108635225840,302532,339331150,96137368
20210831,000040,108154539000,267751,300356930,96137368
20210901,000040,108635225840,204474,230928240,96137368
20210902,000040,108635225840,219167,247221410,96137368
20210903,000040,108154539000,308596,347645670,96137368
20210906,000040,107673852160,351201,391703345,96137368
20210907,000040,106712478480,226623,252024010,96137368
20210908,000040,107193165320,650881,730633850,96137368
20210909,000040,104789731120,366886,404225920,96137368
20210910,000040,105751104800,472803,517952245,96137368
20210913,000040,105270417960,303989,335249325,96137368
20210914,000040,104789731120,353381,384778615,96137368
20210915,000040,103347670600,284072,307551995,96137368
20210916,000040,102866983760,207791,222503315,96137368
20210917,000040,102386296920,331756,347521890,96137368
20210923,000040,101424923240,231199,243218185,96137368
20210924,000040,99502175880,304830,317371200,96137368
20210927,000040,100944236400,261239,272400835,96137368
20210928,000040,98540802200,268247,278570750,96137368
20210929,000040,97579428520,346385,350074835,96137368
20210930,000040,97579428520,213250,216102820,96137368
20211001,000040,95175994320,500296,498350975,96137368
