date,code,name,trade_value,rank
20240131,080220,,257760442850,10
20240131,348370,,241948973300,11
20240131,028260,,224854488000,12
20240131,047560,,218655987300,13
20240131,005380,,204149289900,14
20240131,005490,,193146916500,15
20240131,247540,,176290316500,16
20240131,105760,,153125182150,17
20240131,450080,,151376596500,18
20240131,271830,,151118755615,19
20240131,006400,,132805151000,20
20240131,065350,,127721695500,21
20240131,207940,,125298239600,22
20240131,067630,,119925151040,23
20240131,022100,,115131722600,24
20240131,053030,,112892449540,25
20240131,270660,,111599354800,26
20240131,162300,,111415009935,27
20240131,064350,,108124519500,28
20240131,450140,,107889813290,29
20240131,051910,,107022051000,30
20240131,003550,,105555414317,31
20240131,086520,,103380207000,32
20240131,286940,,100771190450,33
20240131,083450,,96533419550,34
20240131,086790,,95633550525,35
20240131,035720,,94911221100,36
20240131,032850,,91218155060,37
20240131,007330,,90664869940,38
20240131,047310,,87633014960,39
20240131,089890,,87158368470,40
20240131,098460,,85586051270,41
20240131,417200,,83497341650,42
20240131,460930,,83440320300,43
20240131,068270,,81692085300,44
20240131,373220,,81257200000,45
20240131,285800,,80552475920,46
20240131,003670,,79309410500,47
20240131,347770,,78398892225,48
20240131,030520,,78295894650,49
20240131,090430,,77661102400,50
20240131,105560,,75558626200,51
20240131,454910,,74995982700,52
20240131,034730,,74772129500,53
20240131,005935,,74343917700,54
20240131,028050,,71745804000,55
20240131,012450,,68151879700,56
20240131,196170,,68118336600,57
20240131,055550,,68014002300,58
20240131,102120,,65248462720,59
20240131,066570,,65247954600,60
20240131,112290,,63552260930,61
20240131,034020,,56457681980,62
20240131,009150,,55711643800,63
20240131,234300,,55639509335,64
20240131,138040,,54062212000,65
20240131,060250,,53932859680,66
20240131,119500,,53340727765,67
20240131,047920,,51961341550,68
20240131,032640,,50886321550,69
20240131,051370,,49857840920,70
20240131,316140,,48923160440,71
20240131,066970,,48876527900,72
20240131,219420,,48093360760,73
20240131,182400,,47798830590,74
20240131,058470,,47268420900,75
20240131,032830,,46407116650,76
20240131,277810,,45945020700,77
20240131,007660,,45665174550,78
20240131,900140,,45410550770,79
20240131,011070,,45234980300,80
20240131,139480,,44663096300,81
20240131,000720,,42084204450,82
20240131,050110,,42079527941,83
20240131,035900,,41931196400,84
20240131,012330,,41813616974,85
20240131,033230,,41328842275,86
20240131,900250,,39124851023,87
20240131,041020,,38894078370,88
20240131,267260,,37919849700,89
20240131,051900,,37775445500,90
20240131,366030,,37442196870,91
20240131,124500,,36562489240,92
20240131,025320,,36474898800,93
20240131,005387,,35948748300,94
20240131,047050,,35821118200,95
20240131,403870,,35393819200,96
20240131,189690,,34716761980,97
20240131,267250,,34197626400,98
20240131,253590,,33497099100,99
20240131,036540,,33257483030,100
20240131,399720,,33178955300,101
20240131,096530,,32790405150,102
20240131,042700,,32688380700,103
20240131,094480,,32503288450,104
20240131,030200,,31669470968,105
20240131,347000,,31568673530,106
20240131,245620,,31454350676,107
20240131,096770,,31387726200,108
20240131,012510,,31314940350,109
20240131,033780,,31000101200,110
20240131,267850,,30682844280,111
20240131,252990,,30635065950,112
20240131,067000,,30544461300,113
20240131,066790,,30109082565,114
20240131,034220,,30009124110,115
20240131,101360,,29273811200,116
20240131,307950,,29139472000,117
20240131,352820,,28666833500,118
20240131,024110,,28620217700,119
20240131,068760,,27880732600,120
20240131,009415,,27780294100,121
20240131,005070,,27699411800,122
20240131,297890,,27641214425,123
20240131,241560,,27271912710,124
20240131,412350,,27140706630,125
20240131,235980,,26502232020,126
20240131,079550,,26251132700,127
20240131,024060,,26110335880,128
20240131,003090,,25932939200,129
20240131,328130,,25920552800,130
20240131,001570,,25883684200,131
20240131,011780,,25881450500,132
20240131,047810,,25324107300,133
20240131,000810,,25293498000,134
20240131,161390,,25271678190,135
20240131,000880,,25238335600,136
20240131,042670,,25102485720,137
20240131,452260,,24643667901,138
20240131,017670,,24444377100,139
20240131,370090,,24324340900,140
20240131,067310,,24246796450,141
20240131,039030,,24195215200,142
20240131,001450,,24052818750,143
20240131,008930,,23646265950,144
20240131,015760,,23587657870,145
20240131,010140,,23090797440,146
20240131,389140,,22947303040,147
20240131,052690,,22736255800,148
20240131,010130,,22454028000,149
20240131,141080,,22388539500,150
20240131,271560,,22337063000,151
20240131,016790,,22217628054,152
20240131,402340,,22177585500,153
20240131,009420,,22106296100,154
20240131,011200,,22094002380,155
20240131,006260,,22051645400,156
20240131,259960,,22025794000,157
20240131,300080,,21447795850,158
20240131,009830,,21402409500,159
20240131,036120,,21150952955,160
20240131,005290,,21068743900,161
20240131,087010,,21040682800,162
20240131,035610,,20775050910,163
20240131,451220,,20654854950,164
20240131,005830,,20509637200,165
20240131,101490,,20310204750,166
20240131,067160,,19651288900,167
20240131,003490,,19515474700,168
