timestamp,kospi,kosdaq
2026-09-08T11:55:03,7121.29,827.54
2026-09-08T12:05:03,7127.81,827.85
2026-09-08T12:15:03,7139.48,828.69
2026-09-08T12:25:03,7148.24,828.08
2026-09-08T12:35:03,7152.73,828.32
2026-09-08T12:45:04,7158.11,828.32
2026-09-08T12:55:03,7164.27,827.88
2026-09-08T13:05:03,7162.16,829.31
2026-09-08T13:15:03,7161.17,829.83
2026-09-08T13:25:03,7157.48,829.60
2026-09-08T13:35:03,7139.78,828.68
2026-09-08T13:45:03,7141.38,828.16
2026-09-08T13:55:03,7111.38,827.02
2026-09-08T14:05:03,7091.79,825.68
2026-09-08T14:15:03,7073.36,825.09
2026-09-08T14:25:03,7089.52,825.95
2026-09-08T14:35:03,7043.07,822.89
2026-09-08T14:45:05,7042.00,822.45
2026-09-08T14:55:03,7006.57,818.44
2026-09-08T15:05:05,6979.96,815.54
2026-09-08T15:15:03,6985.31,814.49
2026-09-08T15:25:03,6952.65,813.05
2026-09-09T09:05:06,6999.64,822.65
2026-09-09T09:15:07,7028.53,825.44
2026-09-09T09:25:05,7019.99,824.89
2026-09-09T09:35:03,6997.54,822.35
2026-09-09T09:45:07,7027.60,826.25
2026-09-09T09:55:05,7051.55,828.87
2026-09-09T10:05:05,7045.04,829.26
2026-09-09T10:15:05,7049.01,828.68
2026-09-09T10:25:03,7051.97,829.55
2026-09-14T09:05:07,6679.76,803.79
2026-09-14T09:15:03,6699.80,803.57
2026-09-14T09:25:03,6705.48,805.83
2026-09-14T09:35:03,6701.44,805.54
2026-09-14T09:45:07,6712.32,805.48
2026-09-14T09:55:03,6715.41,808.16
2026-09-14T10:05:07,6692.42,810.44
2026-09-14T10:15:03,6670.78,806.65
2026-09-14T10:25:03,6666.62,804.68
2026-09-14T10:35:03,6680.59,806.00
2026-09-14T10:45:03,6690.04,807.27
2026-09-14T10:55:03,6702.68,809.17
2026-09-14T11:05:05,6742.53,810.95
2026-09-14T11:15:03,6760.42,813.35
2026-09-14T11:25:05,6761.90,812.19
2026-09-14T11:35:07,6766.66,812.31
2026-09-14T11:45:03,6758.42,812.77
2026-09-14T11:55:04,6771.51,814.11
2026-09-14T12:05:05,6758.42,813.90
2026-09-14T12:15:03,6752.43,813.26
2026-09-14T12:25:03,6751.12,812.97
2026-09-14T12:35:03,6751.65,813.25
2026-09-14T12:45:03,6743.39,813.04
2026-09-14T12:55:03,6740.29,813.14
2026-09-14T13:05:03,6743.66,813.59
2026-09-14T13:15:03,6728.64,814.57
2026-09-14T13:25:03,6733.96,814.25
2026-09-14T13:35:03,6717.92,812.96
2026-09-14T13:45:03,6720.31,811.93
2026-09-14T13:55:03,6710.86,810.84
2026-09-14T14:05:03,6714.73,810.94
2026-09-14T14:15:03,6699.66,808.85
2026-09-14T14:25:03,6674.56,806.00
2026-09-14T14:35:03,6682.55,807.52
2026-09-14T14:45:03,6680.77,806.92
2026-09-14T14:55:03,6675.77,807.36
2026-09-14T15:05:07,6682.43,808.03
2026-09-14T15:15:05,6673.99,807.73
2026-09-14T15:25:03,6681.73,807.44
2026-09-15T09:41:17,6695.51,816.29
2026-09-15T09:51:13,6668.42,815.93
2026-09-15T10:01:14,6660.86,814.32
2026-09-15T10:11:13,6681.65,818.88
2026-09-15T10:21:14,6703.19,822.32
2026-09-15T10:31:14,6685.53,822.15
2026-09-15T10:41:14,6664.35,820.82
2026-09-15T10:51:14,6672.77,821.28
2026-09-15T11:01:13,6677.78,822.63
2026-09-15T11:11:13,6681.05,823.22
2026-09-15T11:21:13,6686.37,823.02
2026-09-15T11:31:13,6701.91,822.98
2026-09-15T11:41:13,6704.90,823.27
2026-09-15T11:51:14,6710.48,820.81
2026-09-15T12:01:13,6701.54,821.02
2026-09-15T12:11:14,6694.21,823.08
2026-09-15T12:21:16,6690.35,822.08
2026-09-15T12:31:13,6686.45,821.24
2026-09-15T12:41:17,6682.18,820.88
2026-09-15T12:51:16,6688.73,821.52
2026-09-15T13:01:13,6663.77,819.14
2026-09-15T13:11:16,6664.29,819.95
2026-09-15T13:21:13,6650.12,817.16
2026-09-15T13:31:16,6632.44,815.13
2026-09-15T13:41:13,6628.02,813.47
2026-09-15T13:51:13,6638.17,815.57
2026-09-15T14:01:14,6622.92,812.84
2026-09-15T14:11:14,6604.29,809.43
2026-09-15T14:21:13,6593.46,808.76
2026-09-15T14:31:16,6613.16,810.86
2026-09-15T14:41:13,6630.07,812.30
2026-09-15T14:51:13,6635.78,814.04
2026-09-15T15:01:16,6616.42,812.56
2026-09-15T15:11:16,6607.23,811.06
2026-09-15T15:21:13,6617.73,812.63
2026-09-16T11:56:36,6659.49,806.83
2026-09-16T12:06:32,6680.39,808.94
2026-09-16T12:16:32,6686.28,809.36
2026-09-16T12:26:32,6687.39,809.80
2026-09-16T12:36:34,6674.10,810.33
2026-09-16T12:46:33,6692.64,809.95
2026-09-16T12:56:32,6696.40,810.15
2026-09-16T13:06:32,6711.04,811.80
2026-09-16T13:16:32,6703.68,811.75
2026-09-16T13:26:32,6708.70,812.24
2026-09-16T13:36:33,6684.34,810.86
2026-09-16T13:46:32,6685.43,810.98
2026-09-16T13:56:32,6672.64,809.28
2026-09-16T14:06:32,6674.20,809.42
2026-09-16T14:16:32,6686.81,810.65
2026-09-16T14:26:32,6677.38,811.43
2026-09-16T14:36:32,6685.51,812.13
2026-09-16T14:46:32,6693.26,813.95
2026-09-16T14:56:32,6681.82,813.61
2026-09-16T15:06:33,6687.01,813.41
2026-09-16T15:16:32,6703.07,814.63
2026-09-16T15:26:32,6711.45,815.47
2026-09-17T09:05:18,6765.24,822.93
2026-09-17T09:15:19,6723.47,818.32
2026-09-17T09:25:15,6740.65,820.80
2026-09-17T09:35:16,6723.55,817.73
2026-09-17T09:45:16,6729.28,817.11
2026-09-17T09:55:16,6732.67,816.81
2026-09-17T10:05:15,6751.72,821.04
2026-09-17T10:15:18,6764.56,821.53
2026-09-17T10:25:16,6760.85,821.68
2026-09-17T10:35:15,6754.67,821.90
2026-09-17T10:45:15,6760.44,821.69
2026-09-17T10:55:15,6736.52,820.23
2026-09-17T11:05:15,6730.22,821.22
2026-09-17T11:25:16,6717.80,820.03
2026-09-17T11:35:16,6719.37,819.72
2026-09-17T11:45:15,6730.21,821.79
2026-09-17T11:55:15,6727.92,821.56
2026-09-17T12:05:15,6734.32,821.64
2026-09-17T12:15:21,6727.81,822.05
2026-09-17T12:25:16,6731.25,821.89
2026-09-17T12:35:16,6738.71,822.25
2026-09-17T12:45:14,6751.03,823.09
2026-09-17T12:55:14,6753.71,823.74
2026-09-17T13:05:14,6767.03,825.37
2026-09-17T13:15:20,6768.38,825.13
2026-09-17T13:25:14,6768.77,825.80
2026-09-17T13:35:14,6754.34,824.10
2026-09-17T13:45:14,6775.23,825.16
2026-09-17T13:55:14,6765.91,825.23
2026-09-17T14:05:14,6763.88,825.49
2026-09-17T14:15:14,6761.44,825.15
2026-09-17T14:25:15,6738.24,822.79
2026-09-17T14:35:15,6726.39,821.79
2026-09-17T14:45:16,6705.40,820.76
2026-09-17T14:55:15,6710.31,821.53
2026-09-17T15:05:16,6716.99,821.13
2026-09-17T15:15:18,6715.21,821.45
2026-09-17T15:25:14,6717.09,821.87
2026-09-18T09:05:07,6865.32,831.07
2026-09-18T09:15:08,6867.82,828.80
2026-09-18T09:25:06,6866.03,828.23
2026-09-18T09:35:06,6870.98,830.65
2026-09-18T09:45:06,6865.21,828.94
2026-09-18T09:55:10,6863.99,827.95
2026-09-18T10:05:06,6859.42,828.03
2026-09-18T10:15:06,6841.27,827.98
2026-09-18T10:25:06,6840.14,827.89
2026-09-18T10:35:06,6839.97,828.28
2026-09-18T10:45:10,6851.82,828.91
2026-09-18T10:55:06,6848.39,827.32
2026-09-18T11:05:06,6848.81,827.47
2026-09-18T11:15:06,6856.51,827.14
2026-09-18T11:25:06,6856.67,827.44
2026-09-18T11:35:06,6857.29,827.37
2026-09-18T11:45:06,6859.86,827.67
2026-09-18T11:55:06,6856.17,828.38
2026-09-18T12:05:08,6862.50,827.01
2026-09-18T12:15:06,6889.03,827.51
2026-09-18T12:25:06,6880.83,826.64
2026-09-18T12:35:06,6871.79,826.00
2026-09-18T12:45:06,6875.00,825.83
2026-09-18T12:55:06,6893.68,826.15
2026-09-18T13:05:06,6900.43,825.06
2026-09-18T13:15:06,6898.07,825.09
2026-09-18T13:25:07,6878.16,826.01
2026-09-18T13:35:08,6889.67,827.88
