timestamp,mode,code,name,action,reason
2026-09-01T14:55:05,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T14:55:06,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -18.1%, 저점 3280 대비 반등 +24.1%, 현재가 4070)"
2026-09-01T14:55:07,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -23.0%, 저점 886 대비 반등 +8.5%, 현재가 961)"
2026-09-01T14:55:09,real,328130,루닛,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 12100 대비 -24.8%, 저점 8810 대비 반등 +3.3%, 현재가 9100)"
2026-09-01T14:55:11,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -25.6%, 저점 14000 대비 반등 +19.0%, 현재가 16660)"
2026-09-01T15:05:06,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T15:05:07,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -17.3%, 저점 3280 대비 반등 +25.3%, 현재가 4110)"
2026-09-01T15:05:08,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -23.0%, 저점 886 대비 반등 +8.5%, 현재가 961)"
2026-09-01T15:05:10,real,328130,루닛,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 12100 대비 -24.3%, 저점 8810 대비 반등 +4.0%, 현재가 9160)"
2026-09-01T15:05:11,real,043260,성호전자,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 22400 대비 -25.8%, 저점 14000 대비 반등 +18.8%, 현재가 16630)"
2026-09-01T15:15:09,real,210980,SK디앤디,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4340 대비 -15.9%, 저점 2639 대비 반등 +38.3%, 현재가 3650)"
2026-09-01T15:15:10,real,054940,엑사이엔씨,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 4970 대비 -18.2%, 저점 3280 대비 반등 +23.9%, 현재가 4065)"
2026-09-01T15:15:11,real,368600,아이씨에이치,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 1248 대비 -23.6%, 저점 886 대비 반등 +7.7%, 현재가 954)"
2026-09-01T15:15:13,real,328130,루닛,buy,"고점 대비 하락 + 최근3일 저점 대비 반등 확인 (고점 12100 대비 -24.5%, 저점 8810 대비 반등 +3.6%, 현재가 9130)"
